position,discord_id,username,insc_held,balance,mined,exact_guesses,max_reward,fav_glyph,lucky_glyph
706,947918373705105418,KOI1765,1,9002,19,1,4245,"ᛇ","ᚱ"
707,921634608003551282,haya,1,8982,9,1,6716,"ᚨ","ᚱ"
708,896473894498762752,padam,1,8979,18,1,5696,"ᛊ","ᛊ"
709,843540086091415562,"cintu boro",1,8976,22,1,4687,"ᚷ","ᚱ"
710,1220389633225920616,Sundram,1,8974,26,1,2678,"ᛉ","ᛗ"
711,1192580213486399568,ojha00094,1,8961,26,1,4687,"ᚲ","ᚱ"
712,1075288600167587841,Priti,1,8960,17,1,4591,"ᛇ","ᚦ"
713,1214578498526777357,real35,1,8957,31,1,2884,"ᛁ","ᛉ"
714,1018356406996434995,jony777_pool,1,8951,32,1,3358,"ᛇ","ᛇ"
715,530317165472120835,"Ashok Kumar  |Hamsters Sui",1,8949,28,1,4017,"ᚢ","ᚢ"
716,768043482811203605,Rahul,1,8939,23,1,4591,"ᛗ","ᚦ"
717,806547483399684118,"Shadow∆",1,8930,30,1,2884,"ᛞ","ᛉ"
718,959690439248728116,manojkk4430,1,8910,7,1,8035,"ᚷ","ᛉ"
719,852487201597947944,vstark26,1,8903,28,1,4687,"ᚲ","ᚱ"
720,907976561217650711,Mikk,1,8894,32,1,4245,"ᚺ","ᚱ"
721,942019993208487986,chetna786.,1,8879,34,1,3813,"ᛇ","ᚺ"
722,836937646118928425,"Vishu | Suiswap",1,8867,19,1,4687,"ᚲ","ᚱ"
723,1078533711601074196,angell,1,8867,6,1,8035,"ᛊ","ᛉ"
724,1060981728535122001,"Sahil074  | 🕵",1,8862,10,1,6923,"ᚢ","ᚢ"
725,830374366860017685,darshanalwar,1,8856,34,1,3358,"ᛇ","ᛇ"
726,779376288405258240,mahavadiya,1,8839,34,0,0,"ᚠ",
727,951474874424115200,CRYPTOKEY,1,8811,18,1,4500,"ᛜ","ᛜ"
728,937575588657528872,prakash08178,1,8805,27,1,3515,"ᛒ","ᚺ"
729,759252506898989069,"dragon777 ✨",1,8801,18,1,3358,"ᛒ","ᛇ"
730,931477181941547030,raghavrana,1,8795,11,2,4591,"ᛞ","ᚺ"
